Index,Power (dBm),X_Position,Y_Position,Z_Position,U_Position,V_Position,W_Position
0,-30.0157623,514549,-33813.0,4455.0,-220,309,-7713
1,-29.3316994,514549,-33813.0,4466.111111111111,-220,309,-7713
2,-28.2608452,514549,-33813.0,4477.222222222223,-220,309,-7713
3,-27.5011101,514549,-33813.0,4488.333333333333,-220,309,-7713
4,-26.8913956,514549,-33813.0,4499.444444444444,-220,309,-7713
5,-26.5711136,514549,-33813.0,4510.555555555556,-220,309,-7713
6,-26.5368156,514549,-33813.0,4521.666666666667,-220,309,-7713
7,-26.7957115,514549,-33813.0,4532.777777777777,-220,309,-7713
8,-27.2970314,514549,-33813.0,4543.888888888889,-220,309,-7713
9,-28.1481476,514549,-33813.0,4555.0,-220,309,-7713
10,-29.4120293,514549,-33801.88888888889,4455.0,-220,309,-7713
11,-28.7630806,514549,-33801.88888888889,4466.111111111111,-220,309,-7713
12,-27.677124,514549,-33801.88888888889,4477.222222222223,-220,309,-7713
13,-26.8725243,514549,-33801.88888888889,4488.333333333333,-220,309,-7713
14,-26.2401924,514549,-33801.88888888889,4499.444444444444,-220,309,-7713
15,-25.8995132,514549,-33801.88888888889,4510.555555555556,-220,309,-7713
16,-25.8435402,514549,-33801.88888888889,4521.666666666667,-220,309,-7713
17,-26.0864067,514549,-33801.88888888889,4532.777777777777,-220,309,-7713
18,-26.5639153,514549,-33801.88888888889,4543.888888888889,-220,309,-7713
19,-27.4469833,514549,-33801.88888888889,4555.0,-220,309,-7713
20,-28.8972054,514549,-33790.77777777778,4455.0,-220,309,-7713
21,-28.228447,514549,-33790.77777777778,4466.111111111111,-220,309,-7713
22,-27.0728874,514549,-33790.77777777778,4477.222222222223,-220,309,-7713
23,-26.2975502,514549,-33790.77777777778,4488.333333333333,-220,309,-7713
24,-25.655014,514549,-33790.77777777778,4499.444444444444,-220,309,-7713
25,-25.3223495,514549,-33790.77777777778,4510.555555555556,-220,309,-7713
26,-25.2947693,514549,-33790.77777777778,4521.666666666667,-220,309,-7713
27,-25.5645523,514549,-33790.77777777778,4532.777777777777,-220,309,-7713
28,-26.0834465,514549,-33790.77777777778,4543.888888888889,-220,309,-7713
29,-27.0229721,514549,-33790.77777777778,4555.0,-220,309,-7713
