Iteration,Power (dBm),Axis,X,Y,Z,U,V,W
0,-37.6595993,X,6837,883,2423,-1338,-12,-62
1,-37.6603317,U,6837,883,2423,-1238,-12,-62
2,-37.6966858,V,6837,883,2423,-1238,88,-62
3,-37.7130051,X,6737,883,2423,-1238,88,-62
4,-37.7392578,X,6837,883,2423,-1238,88,-62
5,-37.6807098,Z,6837,883,2323,-1238,88,-62
6,-37.6729736,Y,6837,783,2323,-1238,88,-62
7,-37.6643753,Z,6837,783,2423,-1238,88,-62
8,-37.7157135,V,6837,783,2423,-1238,-12,-62
9,-37.7631836,Z,6837,783,2323,-1238,-12,-62
10,-37.7201843,Y,6837,683,2323,-1238,-12,-62
11,-37.7115326,Z,6837,683,2223,-1238,-12,-62
12,-37.686264,Z,6837,683,2323,-1238,-12,-62
13,-37.6342392,U,6837,683,2323,-1338,-12,-62
14,-37.6949844,Y,6837,783,2323,-1338,-12,-62
15,-37.7321167,Y,6837,883,2323,-1338,-12,-62
16,-37.7423325,U,6837,883,2323,-1438,-12,-62
17,-37.7135468,V,6837,883,2323,-1438,88,-62
18,-37.6467896,Y,6837,783,2323,-1438,88,-62
19,-37.6649017,V,6837,783,2323,-1438,188,-62
20,-37.721283,U,6837,783,2323,-1538,188,-62
21,-37.6558685,X,6737,683,2323,-1338,-12,-62
22,-37.6390381,W,6737,683,2323,-1338,-12,-162
