Iteration,Power (dBm),Axis,X,Y,Z,U,V,W
0,-33.3318176,W,6836,783,2423,-1338,-12,38
1,-33.2924194,Z,6836,783,2523,-1338,-12,38
2,-33.316227,X,6936,783,2523,-1338,-12,38
3,-33.3608475,Y,6936,683,2523,-1338,-12,38
4,-33.3370667,W,6936,683,2523,-1338,-12,138
5,-33.3311272,V,6936,683,2523,-1338,88,138
6,-33.3364334,U,6936,683,2523,-1238,88,138
7,-33.3070488,V,6936,683,2523,-1238,-12,138
8,-33.3263969,X,6836,683,2523,-1238,-12,138
9,-33.2689819,U,6836,683,2523,-1138,-12,138
10,-33.3337097,U,6836,683,2523,-1038,-12,138
11,-33.341404,W,6836,683,2523,-1038,-12,38
12,-33.3229828,X,6736,683,2523,-1038,-12,38
13,-33.3067055,V,6736,683,2523,-1038,-112,38
14,-33.2288857,W,6736,683,2523,-1038,-112,-62
15,-33.273922,U,6736,683,2523,-1138,-112,-62
16,-33.3064156,X,6636,683,2523,-1138,-112,-62
17,-33.33424,V,6636,683,2523,-1138,-212,-62
18,-33.2937965,Z,6636,683,2623,-1138,-212,-62
19,-33.2242088,W,6636,683,2623,-1138,-212,-162
20,-33.3007126,X,6536,683,2623,-1138,-212,-162
21,-33.265831,Y,6536,583,2623,-1138,-212,-162
22,-33.2571678,W,6536,583,2623,-1138,-212,-262
